主题（动宾）,正文(可缺省),分类,场景标签,时间
"工作量结束后要有文档支持,让自己的工作更加的标准话流程化",,工作,,
为什么字节11点上班,因为正常来说上午是干不了活的（时间太短），就算上午很早上班也就是开开会，写写文档和日报就过了。不如延长下午工作的时间 ,工作,,
为了一个很小的提升可能要付出巨大的成本，但是可以为此带来长期的收益,,个人提升,,
什么都要大胆尝试一下，别人遇到问题的时候才能帮别人解决,,个人提升,,
不要成为小众人的自嗨(实验室里闭塞 就业 比赛这么多还找不到好工作。已经变成眼界小的自嗨了),,个人提升,,
demo有多重要：demo能干一件事就代表能干一万件事（解决万事开头难的问题）,,工作,,
"没有什么是完美的，项目永远有优化空间
开启新项目 or 维护旧项目？
优先开启新项目，
旧项目能用就行。
实用为主",,工作,,
"关于本地创建代码仓库研究：
","目录建议如下：
需要研究的项目名称
| 
| -- 自己的git项目
| -- 参考的/clone下来的项目",项目与产品,,
"什么能力重要？
为什么要参加竞赛？
你干过什么
你是什么岗位？做的内容是什么？
最大的问题和挑战？
怎么解决的？
解决完增强了什么能力？有什么反思？提升
把他讲成一个故事【讲故事】
有时候技术壁垒没那么高，很多东西就算硬背也行，产品其实没那么优秀，但是区别在于讲故事的能力，可能技术没那么优秀
硬实力和软实力都很重要",,个人提升,,
自己输出的时候，多多反问（你们有什么问题吗）/有人反问，就说出自己理解的意思（重复一遍or自己的想法说出来）,,个人提升,,
先把系统做多领域做杂，再考虑每个领域的优化（ps：能跑就暂时别动了）,,工作,,
要熟悉一些通用的软件逻辑：搜索，登录认证，等等,,工作,,
而大公司基本都靠自研，哪怕相对没那么成熟，但是自研可以确保成本低,,工作,,
小公司不养闲人。。你懂吧,,工作,,
前端项目在没有后端的情况下一无是处，啥都干的前提是啥都会。。,,工作,,
三个月入门前端，真不是假话。。,,工作,,
要考虑系统迭代性：xx系统，再加一个xx功能/体量，需要改多少，再加十个呢？,,工作,,
拿来学计算机的功夫，别的专业别人可以学会书法，花花，跳舞，剪辑，吉他，....，而我只能抱着个计算机,,工作,,
自己一定要熟悉整个项目有关的所有代码，因为你不知道会出什么问题（不止你负责的部分）,,工作,,
"青马两个商科的人，都是读秒下班5：30
不分配活就啥也不干",,工作,,
安装包要留着：特别是环境的（可能也是环境修复和卸载工具）,,工作,,
"
具体业务代码会不会写另一回事，环境至少要配的熟悉熟悉的
",,工作,,
"【字节实习同学】组内目前情况：
实习生共6个，3工程，3算法
工程：我；华科本科（打算回学校保研）；某硕士（打算冲转正）
算法：北大研一（实习完回学校）；另外两个硕士等导师的活忙完 预计下个月才来",,工作,,
乐观 悲观时间估计,,工作,,
"大家都会把临时说的话，记录的想法放在文件传输助手上，怎么解决这个问题？
",,个人提升,,
一堆事，开会，oncall，提测，加埋点，配各种白名单，黑名单,,工作,,
i人和e人真的在公司里不可调和,,交往,,
增加独处时间可以显著认识不同的人,,交往,,
并非只有技术路线，fmt（梦婷）取得成果基本不靠任何技术 而且老师内推等等渠道也能有很好的去处,,人生规划,,
当初只看到了sjd比较新，却没有往远处考虑，等自己毕业了，sjd是深圳的二儿子，但可能未来几年就有3、4、5、6儿子，sjd就失宠了,,其他,,
"总体来说，在智能硬件领域，本科生比研究生要好，研究生比博士要好，博士比教授要好。产业化落地的技术水平，本科就足够了，后面都可以在创业中边干边学，而最需要激发和保护的，是学生的创业热情和动力，不要被传统的教育模式削弱。
【魏大琪 李老师】",,人生规划,,
有趣的科研，应该是来源于生活，应用于生活,,项目与产品,,
【了解项目三连问】接手项目提问,"1、目前这个项目处于什么阶段
2、这个需求交付时间要求是怎么样的
3、调整后的需求设计大概什么时候可以调整完同步出来
4、研发的话提前过一遍最新的需求材料，再拉通过需求",工作,,
项目要有会议记录，比如git记录（自动记录git）不然持续推进的项目 容易不好写周报,,工作,,
要有自己的积累：至少让别人觉得“你很专业”。现在的市场不是靠忽悠就可以赚钱的了 。对自己的专业要有专业的知识和技能，随时能拿出来用的那种（至少解决问题的时候多试错，排除错误的方法，而不是干瞪眼）,,工作,,
"不要自己瞎搞：
工作时时刻考虑被裁之后（不要买房上杠杆）
不轻易辞职创业",,人生规划,,
过去的时代，就是靠吃时代红利+会来事实现财富自由。但现在要考虑时代正在变化,,人生规划,,
"宣传时（摆摊位）的媒体无关性
如果一群人站在摊位前，有说有笑，大家可能没那么愿意接近
反而没人的时候，大家可能会看一眼展板内容（或者屏幕ppt）
但是一个人都没有的时候，大家也不会乐意接近",,其他,,
差异化竞争，始终选一条人比较少的，竞争没那么大的路,,人生规划,,
"关于A股，投资，股票：
股票有风险，投资需谨慎。你都知道是投资了，亏了不是很正常？谁逼你炒股的？
在强调一遍，a股不反应中国经济，那是个赌场",,网络,,
"新加坡，足够小，比澳门还小，用腿就可以一天走完
你这么小体量，想干个人均gdp很高出来，也很容易啊～你没有那么多考虑的因素
什么人民素质不均，地理因素差异，历史差异，自然资源差异，教育
你想想就你们村，或者城市一个区的大小",,网络,,
计算机行业就是一个量变产生质变的过程,,工作,,
考研复习是一个延迟满足很强的东西，不要自我怀疑。只要学习就是在进步,,学业,,
"大厂最低20x14k（最少28w）有些能开到22k（30w），行情好岗位好能开到30x19（57w）
中厂高的17x13k（22w）一般也只能开到13x13（17w）
小厂小公司最多12x13（15w），一般都是10x12（12w），或者9x12k（10w左右）
大厂一年=小厂两年，大厂2年=中厂3年",,工作,,
